# ESQUISSE — aspiration du 3 septembre 2026 (révisée le 09/09/2026 après les réponses de la source du 07/09) — 28 descripteurs sur 623 fiches (621 aspirées, 2 injoignables le jour même) — deux vocabulaires : liste commune (sujets) et géo-histo (geo + dates) — URI canonique ?motNN, la forme /id/motNN est retirée — non officiel
id;notation;uri_canonique;page;vocabulaire;facette;profondeur;parent;regle_du_parent;libelle_hierarchique_fr;label_fr;label_en;label_es;label_it;label_pt;label_de;label_nl;label_ca;label_el;label_eo;el_latn;hors_liste_cira;liens_catalogues;remarque
mot1;1;https://thesaurus.ficedl.info/?mot1;https://thesaurus.ficedl.info/spip.php?mot1;liste commune;sujets;1;;racine;action directe;action directe;direct action;acción directa;azione diretta;ação direta;direkte Aktion;directe actie;acció directa;άμεση δράση;rekta ago;ámesi̱ drási̱;;8;
mot20;20;https://thesaurus.ficedl.info/?mot20;https://thesaurus.ficedl.info/spip.php?mot20;liste commune;sujets;2;mot17;generalites_confirme_source;art : affiches;art : affiches;art: posters;arte: carteles;arte: poster;arte: poster;Kunst: Plakat;kunst: poster;art: cartells;τέχνη : αφίσες;arto: afiŝoj;téchni̱ : afíses;;8;
mot24;24;https://thesaurus.ficedl.info/?mot24;https://thesaurus.ficedl.info/spip.php?mot24;liste commune;sujets;3;;collection:art : courants;art : courants : surréalisme;art : courants : surréalisme;art: artistic movements: surrealism;arte: movimientos artísticos: surrealismo;arte: movimenti artistici: surrealismo;arte: movimentos de arte: surrealismo;Kunst: künstlerischen Bewegungen: Surrealismus;kunst: kunststromingen: surrealisme;art: moviments artístics: surrealisme;τέχνη : ρεύματα : σουρεαλισμός;arto: arta fluo: supperrealismo;téchni̱ : rév̱mata : sourealismós;;8;Parent « art : courants » : pas un descripteur. Question (b) du 07/09, ouverte : groupe de mots-clés SPIP (alors la hiérarchie est une donnée du site) ou convention d'affichage (alors skos:Collection) ? Écrit ici comme skos:Collection, à titre provisoire.
mot2;2;https://thesaurus.ficedl.info/?mot2;https://thesaurus.ficedl.info/spip.php?mot2;liste commune;sujets;2;mot88;generalites_confirme_source;économie : agriculture;économie : agriculture;economy: agriculture;economía: agricultura;economia: agricoltura;economia: agricultura;Wirtschaft: Landwirtschaft;economie: landbouw;economia: agricultura;οικονομία : γεωργία;ekonomio: agrikulturo;oikonomías : geo̱rgía;;7;
mot14;14;https://thesaurus.ficedl.info/?mot14;https://thesaurus.ficedl.info/spip.php?mot14;liste commune;sujets;2;mot88;generalites_confirme_source;économie : argent et monnaie;économie : argent et monnaie;economy: money;economía: dinero;economia: valuta;economia: dinheiro;Wirtschaft: Geld;economie: geld;economia: diners i moneda;οικονομία : χρήμα και νόμισμα;ekonomio: mono kaj monero;oikonomías : chrí̱ma kai nómisma;;8;
mot51;51;https://thesaurus.ficedl.info/?mot51;https://thesaurus.ficedl.info/spip.php?mot51;liste commune;sujets;1;;racine;communication (généralités);communication (généralités);communication (in general);comunicación (aspectos generales);comunicazione (generale);comunicação (aspectos gerais);Mitteilung (geschichtlich);communicatie (algemeen);comunicació (general);επικοινωνία (γενικά);komuniko (ĝenerale);epikoino̱nía (geniká);oui;4;
mot303;303;https://thesaurus.ficedl.info/?mot303;https://thesaurus.ficedl.info/spip.php?mot303;géo-histo;geo;3;mot410;direct;Allemagne : histoire : 1945-1989 (Est);Allemagne : histoire : 1945-1989 (Est);Germania : history : (East);Alemania : historia : (Este);Germania : storia : (Est);Alemanha : história : (Leste);Deutschland : Geschichte : (Osten);Duitsland : geschiedenis : (Oost);Alemanya : història : (Est);Γερμανία : ιστορία : (Ανατολή;Germanio : historio : (Oriento);Germanía : istoría : Anatolí̱);;4;Corrigé à la source entre le 27/08 et le 03/09 : les parenthèses sont entrées dans chaque langue (plus de « ) » orphelin). Reste, en grec, la fermante tombée dans la romanisation : « (Ανατολή » / « Anatolí̱) ».
mot331;331;https://thesaurus.ficedl.info/?mot331;https://thesaurus.ficedl.info/spip.php?mot331;géo-histo;geo;3;mot330;direct;États-Unis : histoire : 1886 (Haymarket);États-Unis : histoire : 1886 (Haymarket);United States : history;Estados Unidos : historia;Stati Uniti d'America : storia : Martiri di Chicago;Estados Unidos : história;Vereinigte Staaten : Geschichte;Verenigde Staten : geschiedenis;Estats Units d'Amèrica : història;Ηνωμένες Πολιτείες : ιστορία;Usono : historio;I̱no̱ménes Politeíes : istoría;oui;4;Corrigé à la source entre le 27/08 et le 03/09 : « 1886 (Haymarket) » en français, le segment portugais vide (« : ) * ») a disparu — le portugais s'arrête désormais à « história ». L'astérisque porte sur la fiche.
mot228;228;https://thesaurus.ficedl.info/?mot228;https://thesaurus.ficedl.info/spip.php?mot228;liste commune | géo-histo;sujets|geo;1;;racine;populations autochtones;populations autochtones;autochthonous people;pueblo autóctono;popoli autoctoni;povos autóctones;autochtone Völker;autochtone volkeren;pobles Indígenes;αυτόχθονες πληθυσμοί;aŭtoktonaj loĝantaroj;af̱tóchthones pli̱thysmoí;;8;Deux facettes (sujets, geo) : le descripteur appartient aux deux vocabulaires.
mot87;87;https://thesaurus.ficedl.info/?mot87;https://thesaurus.ficedl.info/spip.php?mot87;liste commune;sujets;1;;racine;écologie;écologie;ecology;ecología;ecologia;ecologia;Ökologie;ecologie;ecologia;οικολογία;ekologio;oikología;;9;
