id;nom;decision;lccn;vedette_lc;preuve;naissance_lc;mort_lc;lieu_naissance_lc;langues_lc;ecrit_le_26_09;candidats_et_motifs
2;Francesco Codello;non_corrobore;;;;;;;;;Codello, Francesco
5;Piotr Kropotkin;introuvable;;;;;;;;;
6;Serge Latouche;accepte;n81068988;Latouche, Serge, 1940-;dates;1940;;;;lccn;Latouche, Serge, 1940-
9;Noam Chomsky;accepte;n79104267;Chomsky, Noam;dates;1928;;Philadelphia (Pa.);English;lccn;Chomsky, Noam
12;Frank Mintz;non_corrobore;;;;;;;;;Mintz, Frank
13;Michael Albert;introuvable;;;;;;;;;
14;Pablo Ortellado;non_corrobore;;;;;;;;;Ortellado, Pablo
15;Neno Vasco;accepte;n85047237;Vasco, Neno;titre « concepcao anarquista do sindicalismo »;1878;1920;;;lccn;Vasco, Neno
17;Guillaume Goutte;non_corrobore;;;;;;;;;Goutte, Guillaume
18;Fabiano de Oliveira Bringel;accepte;n2025516312;Bringel, Fabiano de Oliveira;titre « as geografias agrarias a partir da panamazonia »;;;;Portuguese;lccn+langue;Bringel, Fabiano de Oliveira
19;Cátia de Oliveira Macedo;introuvable;;;;;;;;;
21;Floréal Romero;introuvable;;;;;;;;;
22;Vincent Gerber;accepte;n2013028572;Gerber, Vincent, 1983-;titre « murray bookchin »;1983;;;French;lccn+langue;Gerber, Vincent, 1983-
23;Marianne Enckell;non_corrobore;;;;;;;;;Enckell, Marianne
27;Paul Boino;non_corrobore;;;;;;;;;Boino, Paul
28;Paulo Olivio Correa de Aquino Júnior;non_corrobore;;;;;;;;;Aquino Junior, Paulo Olivio Correa de
32;Lorenzo Kom'boa Ervin;accepte;nr95017897;Ervin, Lorenzo Kom'boa;dates;1947;;Chattanooga (Tenn.);English;lccn;Ervin, Lorenzo Kom'boa
34;Edson Passetti;accepte;n92078793;Passetti, Edson;titre « violentados »;1951;;;Portuguese;lccn+langue;Passetti, Edson
36;Ronald Creagh;non_corrobore;;;;;;;;;Creagh, Ronald
37;Eduardo Colombo;accepte;nb90752145;Colombo, Eduardo, 1929-2018;titre « los desconocidos y los olvidados »;1929;2018;;;lccn;Colombo, Eduardo, 1929-2018 | Colombo, Eduardo, 1919- | Colombo, Eduardo
38;Carlo Aldegheri;introuvable;;;;;;;;;
43;Maurício Tragtenberg;accepte;n82027716;Tragtenberg, Maurício;dates;1928;1998;;;lccn;Tragtenberg, Maurício
44;Felipe Corrêa;accepte;n2020251210;Corrêa, Felipe (Felipe Corrêa Pedro);titre « bandeira negra »;;;;Portuguese;lccn+langue;Corrêa, Felipe (Felipe Corrêa Pedro)
48;Rafael Viana Da Silva;introuvable;;;;;;;;;
51;René Berthier;accepte;nb2004303505;Berthier, René, 1946-;dates;1946;;Shanghai (China);French;lccn+langue;Berthier, René, 1946- | Berthier, René [naissance 1927 ≠ 1946]
53;Frédéric Antonini;introuvable;;;;;;;;;
10004;Henri Arvon;contradiction;;;;;;;;;Arvon, Henri, 1914-1992 [naissance 1914 ≠ 1921, mort 1992 ≠ 2011]
10009;Plínio Augusto Coelho;accepte;n2011028667;Coelho, Plínio Augusto;titre « surrealismo e anarquismo »;;;;Portuguese;lccn+langue;Coelho, Plínio Augusto
10014;Maurice Joyeux;non_corrobore;;;;;;;;;Joyeux, Maurice
10015;Gaston Leval;non_corrobore;;;;;;;;;Leval, Gastón
10017;Alexander Sutherland Neill;accepte;n79065280;Neill, Alexander Sutherland, 1883-1973;dates;1883;1973;Scotland;English;lccn+langue;Neill, Alexander Sutherland, 1883-1973
10021;Alexandre Ribeiro Samis;introuvable;;;;;;;;;
10029;Nestor Makhno;introuvable;;;;;;;;;
10033;Georges Gurvitch;accepte;n79150232;Gurvitch, Georges, 1894-1965;dates;1894;1965;;;lccn;Gurvitch, Georges, 1894-1965
10037;E. P. Thompson;accepte;n78089033;Thompson, E. P. (Edward Palmer), 1924-1993;dates;1924;1993;Halifax (England);English;lccn+langue;Thompson, E. P. (Edward Palmer), 1924-1993
10038;Nicolas Walter;accepte;n86026229;Walter, Nicolas;titre « anarquismo hoy »;;;;;lccn;Walter, Nicolas
10040;Maurizio Antonioli;non_corrobore;;;;;;;;;Antonioli, Maurizio
10043;Luiz Büchner;introuvable;;;;;;;;;
