id;nom;decision;ecrite_le_26_09;qid;wikidata_libelle;naissance;mort;pays;langue;signaux;candidats_et_motifs
1;Élisée Reclus;acceptée;oui;Q20951;Élisée Reclus;1830;1905;FR;fr;biblio+metier+anarchisme;Q20951 {biblio+metier+anarchisme}
2;Francesco Codello;introuvable;;;;;;;;;
3;Mikhail Bakunin;acceptée;oui;Q27645;Mikhaïl Bakounine;1814;1876;RU;ru;biblio+metier+anarchisme;Q27645 {biblio+metier+anarchisme} | Q4076109 [naissance 1764 ≠ 1814, mort 1837 ≠ 1876] | Q56750716 [naissance 1730 ≠ 1814, mort 1803 ≠ 1876]
4;Errico Malatesta;acceptée;oui;Q215673;Errico Malatesta;1853;1932;IT;it;biblio+metier+anarchisme;Q215673 {biblio+metier+anarchisme}
5;Piotr Kropotkin;déjà liée;;Q5752;Pierre Kropotkine;1842;1921;RU;;biblio+metier;Q5752 {biblio+metier}
6;Serge Latouche;acceptée;oui;Q1095066;Serge Latouche;1940;;FR;;biblio+metier;Q1095066 {biblio+metier}
8;Daniel Guérin;acceptée;oui;Q465156;Daniel Guérin;1904;1988;FR;fr;biblio+metier;Q465156 {biblio+metier} | Q55367561 | Q65584351 [naissance 1954 ≠ 1904, mort 2025 ≠ 1988] | Q65584353 [naissance 1951 ≠ 1904] | Q65584352 [naissance 1947 ≠ 1904] {biblio} | Q63764497 [naissance 1963 ≠ 1904, né 1963, publié dès 1968]
9;Noam Chomsky;acceptée;oui;Q9049;Noam Chomsky;1928;;US;en;biblio+metier;Q9049 {biblio+metier}
10;Murray Bookchin;acceptée;oui;Q315910;Murray Bookchin;1921;2006;US;en;biblio+metier;Q315910 {biblio+metier}
11;Abraham Guillén;déjà liée;oui;Q205381;Abraham Guillén;1913;1993;ES;es;biblio+metier+anarchisme;Q205381 {biblio+metier+anarchisme}
12;Frank Mintz;acceptée;oui;Q3082722;Frank Mintz;1941;;FR;fr;biblio+metier;Q3082722 {biblio+metier} | Q141055119 [naissance 1947 ≠ 1941] {biblio+metier}
13;Michael Albert;acceptée;oui;Q742079;Michael Albert;1947;;US;en;biblio+metier;Q742079 {biblio+metier} | Q1176646 [naissance 1836 ≠ 1947] {biblio+metier} | Q20753154 [naissance 1836 ≠ 1947] {biblio} | Q6830854 [naissance 1962 ≠ 1947] {biblio} | Q22003062 [naissance 1966 ≠ 1947] {biblio} | Q112447398 [naissance 1951 ≠ 1947] {biblio} | Q102876314
14;Pablo Ortellado;acceptée;oui;Q48872574;Pablo Ortellado;;;BR;;biblio+metier;Q48872574 {biblio+metier}
15;Neno Vasco;contradiction;;;;;;;;;Q10336169 [mort 1923 ≠ 1920] {biblio+metier}
16;José Oiticica;acceptée;oui;Q6293593;José Oiticica;1882;1957;BR;pt;biblio+metier;Q22114000 [naissance 1906 ≠ 1882, mort 1964 ≠ 1957] {biblio} | Q6293593 {biblio+metier}
17;Guillaume Goutte;à relire (un seul signal);;Q116182511;Guillaume Goutte;;;;fr;biblio;Q116182511 {biblio}
18;Fabiano de Oliveira Bringel;introuvable;;;;;;;;;
19;Cátia de Oliveira Macedo;introuvable;;;;;;;;;
21;Floréal Romero;à relire (un seul signal);;Q130289935;Floreal M. Romero;;;ES;;biblio;Q130289935 {biblio}
22;Vincent Gerber;à relire (un seul signal);;Q130289932;Vincent Gerber;;;CH;fr;biblio;Q130289932 {biblio}
23;Marianne Enckell;acceptée;oui;Q15407366;Marianne Enckell;1944;;CH;;biblio+metier+anarchisme;Q15407366 {biblio+metier+anarchisme}
24;Diego Abad De Santillán;acceptée;oui;Q952737;Diego Abad de Santillán;1897;1983;ES;es;biblio+metier+anarchisme;Q952737 {biblio+metier+anarchisme}
25;Karl Marx;acceptée;oui;Q9061;Karl Marx;1818;1883;;de;biblio+metier;Q9061 {biblio+metier} | Q16062483 [naissance 1857 ≠ 1818, mort 1891 ≠ 1883] | Q1732309 [naissance 1929 ≠ 1818, mort 2008 ≠ 1883] {biblio+metier} | Q1732308 [naissance 1897 ≠ 1818, mort 1966 ≠ 1883] {biblio+metier} | Q882538 [naissance 1897 ≠ 1818, mort 1985 ≠ 1883] {biblio} | Q1732312 [naissance 1844 ≠ 1818, mort 1914 ≠ 1883] {biblio} | Q109536209 [naissance 1832 ≠ 1818, mort 1890 ≠ 1883] {biblio+metier}
26;Friedrich Engels;acceptée;oui;Q34787;Friedrich Engels;1820;1895;DE;de;biblio+metier;Q34787 {biblio+metier} | Q1458971 [naissance 1796 ≠ 1820, mort 1860 ≠ 1895] {biblio}
27;Paul Boino;introuvable;;;;;;;;;
28;Paulo Olivio Correa de Aquino Júnior;introuvable;;;;;;;;;
29;Pierre-Joseph Proudhon;acceptée;oui;Q5749;Pierre-Joseph Proudhon;1809;1865;FR;fr;biblio+metier+anarchisme;Q5749 {biblio+metier+anarchisme}
30;Osvaldo Bayer;acceptée;oui;Q366890;Osvaldo Bayer;1927;2018;AR;es;biblio+metier;Q366890 {biblio+metier}
32;Lorenzo Kom'boa Ervin;acceptée;oui;Q1614124;Lorenzo Kom'boa Ervin;1947;;US;en;biblio+metier;Q1614124 {biblio+metier}
33;Juan Carlos Mechoso;acceptée;oui;Q94363445;Juan C. Mechoso;1935;2022;UY;es;biblio+metier+anarchisme;Q94363445 {biblio+metier+anarchisme}
34;Edson Passetti;introuvable;;;;;;;;;
36;Ronald Creagh;acceptée;oui;Q3441508;Ronald Creagh;1929;2023;;;biblio+metier;Q3441508 {biblio+metier}
37;Eduardo Colombo;acceptée;oui;Q18419954;Eduardo Colombo;1929;2018;AR;;biblio+metier;Q18419954 {biblio+metier}
38;Carlo Aldegheri;déjà liée;;Q105620548;Carlo Aldegheri;1902;1995;IT;;biblio;Q105620548 {biblio}
